MFG,Type,Subtype,Item Code,Item Description,Retail,Qty on Hand,Qty on Order,RSV Qty,cost
Shindaiwa,,,ECH  T302X,30.5CC BLADE READY TRIMMER,529.99,0.0,0,5,398.05
Shindaiwa,,,ECH  EB633RT,63.3CC BACKPACK BLOWER,489.99,0,0,5,383.28
ECHO,,,ECH  16A0CD91PX,"16"" BAR & CHAIN COMBO",60.49,1979.0,0,5,42.34
ECHO,,,ECH  20D0AS72LPX,"20"" BAR & CHAIN COMBO",83.49,1540.0,0,5,58.44
ECHO,,,ECH  001106,PB HANDLE ASSY LARGE,14.42,396.0,0,5,8.65
ECHO,,,ECH  001107,PB HANDLE KIT,14.42,54.0,0,5,8.65
Shindaiwa,,,ECH  02301-02402,O-RING,0.8,33.0,0,5,0.48
Shindaiwa,,,ECH  048116,HOSE,14.32,215.0,0,5,8.59
ECHO,,,ECH  10000006962,PISTON KIT  HC-1500,60.61,0,0,5,36.37
